#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CYCA3-1	CDKB1-2	3702.Q9FMH5	3702.Q2V419	0	0	0	0	0.282	0.425	0.306	0.894	0.965
CYCA3-1	RBR1	3702.Q9FMH5	3702.Q9LKZ3	0	0	0	0	0.081	0.235	0.462	0.531	0.798
CYCA3-1	CKS2	3702.Q9FMH5	3702.Q9SJJ5	0	0	0	0	0.202	0.665	0.396	0.612	0.929
CYCA3-4	CKS1	3702.Q3ECW2	3702.O23249	0	0	0	0	0.182	0.812	0.396	0.705	0.969
CYCA3-4	CDKB1-2	3702.Q3ECW2	3702.Q2V419	0	0	0	0	0.257	0.425	0.306	0.894	0.964
CYCA3-4	RBR1	3702.Q3ECW2	3702.Q9LKZ3	0	0	0	0	0.081	0.235	0.462	0.639	0.845
CYCA3-4	CKS2	3702.Q3ECW2	3702.Q9SJJ5	0	0	0	0	0.182	0.748	0.396	0.521	0.932
RBR1	CKS1	3702.Q9LKZ3	3702.O23249	0	0	0	0	0.058	0	0.727	0.370	0.823
RBR1	CYCA2-2	3702.Q9LKZ3	3702.Q147G5	0	0	0	0	0.081	0.235	0.462	0.465	0.770
RBR1	CDKB1-2	3702.Q9LKZ3	3702.Q2V419	0	0	0	0	0.064	0.526	0.551	0.895	0.976
RBR1	CYCA2-3	3702.Q9LKZ3	3702.Q38819	0	0	0	0	0.081	0.235	0.462	0.830	0.927
RBR1	CYCA2-1	3702.Q9LKZ3	3702.Q39071	0	0	0	0	0.081	0.235	0.462	0.556	0.809
RBR1	CYCA3-4	3702.Q9LKZ3	3702.Q3ECW2	0	0	0	0	0.081	0.235	0.462	0.639	0.845
RBR1	CYCA1-1	3702.Q9LKZ3	3702.Q9C6Y3	0	0	0	0	0.081	0.235	0.462	0.554	0.809
RBR1	CYCA2-4	3702.Q9LKZ3	3702.Q9C968	0	0	0	0	0.081	0.235	0.462	0.472	0.773
RBR1	CYCA3-1	3702.Q9LKZ3	3702.Q9FMH5	0	0	0	0	0.081	0.235	0.462	0.531	0.798
RBR1	CKS2	3702.Q9LKZ3	3702.Q9SJJ5	0	0	0	0	0.058	0	0.727	0.484	0.855
